dt	pH	Ca	Alc
24/01/1980 15:40	7.7	60	
21/02/1980 15:30	7.5	75	
24/03/1980 10:30		90	
21/04/1980 14:40	7.2	120	
24/06/1980 15:00		90	
23/09/1980 15:30	6.8	50	
29/10/1980 15:00	6.9	65	
18/11/1980 14:35		90	
19/01/1981 16:25	7.4	55	
26/01/1981 14:20	7.1	75	
17/02/1981 15:30	7.3	120	
16/03/1981 15:10	7.4	120	
27/04/1981 15:00	7.8	120	
26/05/1981 12:00	7.3	115	
23/06/1981 16:40	7.2	95	
21/07/1981 16:20	7.1	130	
25/08/1981 16:00	7.8	60	
15/09/1981 15:00	7.2	100	
13/10/1981 15:15	6.8	45	
10/11/1981 15:45	6.7	50	
10/12/1981 15:00	7.2	85	
19/01/1982 16:25	6.6	81	
09/02/1982 10:00	6.7	76	
17/03/1982 10:20	6.6	48	
14/04/1982 10:00	7.8	114	
19/05/1982 10:00	7.7	67	
16/06/1982 10:20	7.9	71	
27/07/1982 10:00	6.9	38	
14/09/1982 10:15	7.8		
27/10/1982 10:20	7.6	67	
17/11/1982 10:15	7.9	71	
15/12/1982 11:00	7.6	119	
19/01/1983 10:35	7.3	81	
09/02/1983 10:40	7.6	81	
23/03/1983 10:30	7.5	95	
27/04/1983 10:20	7.5	81	
24/05/1983 10:45	7.2	76	
29/06/1983 10:00	7.2	76	
10/08/1983 10:45	7.5	89	
28/09/1983 10:40	7	89	
19/10/1983 10:00	7.3	35	
09/11/1983 11:00	7.7	74	
13/12/1983 10:15	7.1	54	
17/01/1984 10:30	7.1	54	
14/02/1984 10:30	7.4	85	
20/03/1984 11:00	7.6	90	
11/04/1984 10:30	7.6	115	
15/05/1984 13:30	8.6	70	
27/06/1984 16:15	7.3	50	
17/07/1984 15:00	7.4	35	
19/03/1985 09:45	7	55	
09/04/1985 10:00	7.8	65	
21/05/1985 11:35	7.6	50	
18/06/1985 10:30	7.6	35	
09/07/1985 09:10	7.9	45	
17/09/1985 10:15	7.6	45	
15/10/1985 10:15	7.3	20	
19/11/1985 10:50	7.4	45	
17/12/1985 08:45	7.3	40	
28/01/1986 10:45	7.6	60	
25/02/1986 11:30	7.8	100	
18/03/1986 10:45	7.6	75	
08/04/1986 10:55	7.6	60	
13/05/1986 10:15	7.3	58	
24/06/1986 10:30	7.1	34	
11/08/1986 11:00	6.7	42	
22/09/1986 11:30	7.4	39	
21/10/1986 10:45	7.3	42	
18/11/1986 10:50	8.1	74	
20/01/1987 10:00	6.7	95	
17/02/1987 11:00	7.5	82	
16/03/1987 11:30	7.8	11.3	
13/04/1987 10:50	7.1	111	
11/05/1987 11:00	7	92	
22/06/1987 11:30	7.1	70	
14/07/1987 10:30	8.2	56	
17/08/1987 10:30	7.4	62	
14/09/1987 10:30	7.3	62	
19/10/1987 10:30	7.3	74	
23/11/1987 10:10	7.7	69	
21/12/1987 11:30	6.8	103	
24/02/1988 10:30	6.8	65	
26/04/1988 10:30	7.4		
17/05/1988 11:00	7.5	68	
28/06/1988 11:15	7.4	53	
26/07/1988 10:15	6.9	44	
13/09/1988 10:30	7.5	48	
25/10/1988 11:00	7.5	54	
15/11/1988 12:30	7.8	48	
20/12/1988 12:00	7.2	44	
25/01/1989 11:00	7.4		12.8
14/02/1989 10:30	7.2		
07/03/1989 11:20	7.6	75.3	
11/04/1989 10:15	7.2		
09/05/1989 10:45	7.8	130.4	67.6
06/06/1989 10:00	7.2	25.9	60.5
04/07/1989 11:30	7.3	44.9	35
22/08/1989 11:30	7.7	11.24	45.6
19/09/1989 10:30	8.3		
17/10/1989 10:30	6.9	112.4	69.1
14/11/1989 10:30	7.6	73.1	49.7
09/01/1990 11:30	7.2	98.3	50.2
06/02/1990 11:40	7.9	120	36
08/05/1990 10:45	6.9	10	23.3
26/06/1990 11:30	6.7	30	29.2
24/07/1990 09:55	7.4		29.2
21/08/1990 11:00	7.7	10	36.8
04/09/1990 15:00	7.6	20	22.4
09/10/1990 11:00	7.6		
09/10/1990 12:00		160	42.1
14/11/1990 11:20	7.5	170	38.9
12/12/1990 11:30	7.2	140	38.9
08/01/1991 14:45	7.3	200	23.6
10/01/1991 11:00	7.4		
05/02/1991 11:00	7.4	200	49.4
07/05/1991 12:10	7.4	90	55.6
18/06/1991 11:15	7.6	10	21.6
02/07/1991 11:20	7.3	90	33.8
03/09/1991 11:00	7.4	90	45.7
01/10/1991 11:20	7.4	20	30.7
05/11/1991 09:20	7.5	30	38.6
14/01/1992 10:15	7.3	20	24.2
04/02/1992 11:30	7.5	20	33.5
17/03/1992 10:40	6.9	170.4	52.7
07/04/1992 11:30	7.7	20	44.2
16/06/1992 09:20	7.5	400	48
28/07/1992 08:45	8	230	51
18/08/1992 13:15	6.8	220	29
22/09/1992 08:20	8		30
20/10/1992 11:00		250.8	30
24/11/1992 18:45	7.3	360.6	33.5
05/01/1993 11:00	7.9		
02/02/1993 11:00	7.7		
09/03/1993 11:00	7.5		
20/04/1993 11:00	7.7		
04/05/1993 11:00	7.5		
01/06/1993 11:00	7.4		
06/07/1993 11:00	7.4		
31/08/1993 11:00	8		
12/10/1993 11:00	8.4		
09/11/1993 11:00	7.6		
20/12/1993 11:00	8		
